Cod,Region/Country/Area,Year,Series,Value,Footnotes
1,Total,2005,Intentional homicide rates per 100K,6.3,Estimate.
1,Total,2005,Percentage of male and female intentional homicide victims- Male,10.1,
1,Total,2005,Percentage of male and female intentional homicide victims- Female,2.4,
1,Total,2010,Intentional homicide rates per 100K,6,Estimate.
1,Total,2010,Percentage of male and female intentional homicide victims- Male,9.6,
1,Total,2010,Percentage of male and female intentional homicide victims- Female,2.4,
1,Total,2018,Intentional homicide rates per 100K,5.8,Estimate.
1,Total,2018,Percentage of male and female intentional homicide victims- Male,9.3,
1,Total,2018,Percentage of male and female intentional homicide victims- Female,2.2,
2,Africa,2005,Intentional homicide rates per 100K,13,Estimate.
2,Africa,2010,Intentional homicide rates per 100K,12.7,Estimate.
2,Africa,2018,Intentional homicide rates per 100K,12.9,Estimate.
19,Americas,2005,Intentional homicide rates per 100K,14.5,Estimate.
19,Americas,2005,Percentage of male and female intentional homicide victims- Male,26.2,
19,Americas,2005,Percentage of male and female intentional homicide victims- Female,3.1,
19,Americas,2010,Intentional homicide rates per 100K,15.8,Estimate.
19,Americas,2010,Percentage of male and female intentional homicide victims- Male,28.7,
19,Americas,2010,Percentage of male and female intentional homicide victims- Female,3.3,
19,Americas,2018,Intentional homicide rates per 100K,15.9,Estimate.
19,Americas,2018,Percentage of male and female intentional homicide victims- Male,28.6,
19,Americas,2018,Percentage of male and female intentional homicide victims- Female,3.6,
21,Northern America,2005,Intentional homicide rates per 100K,5.3,Estimate.
21,Northern America,2005,Percentage of male and female intentional homicide victims- Male,8.5,
21,Northern America,2005,Percentage of male and female intentional homicide victims- Female,2.3,
21,Northern America,2010,Intentional homicide rates per 100K,4.5,Estimate.
21,Northern America,2010,Percentage of male and female intentional homicide victims- Male,7,
21,Northern America,2010,Percentage of male and female intentional homicide victims- Female,2,
21,Northern America,2017,Intentional homicide rates per 100K,5,Estimate.
21,Northern America,2017,Percentage of male and female intentional homicide victims- Male,8,
21,Northern America,2017,Percentage of male and female intentional homicide victims- Female,2.2,
21,Northern America,2018,Intentional homicide rates per 100K,4.6,Estimate.
29,Caribbean,2005,Intentional homicide rates per 100K,17.1,Estimate.
29,Caribbean,2005,Percentage of male and female intentional homicide victims- Male,30,
29,Caribbean,2005,Percentage of male and female intentional homicide victims- Female,3.7,
29,Caribbean,2010,Intentional homicide rates per 100K,17,Estimate.
29,Caribbean,2010,Percentage of male and female intentional homicide victims- Male,30.4,
29,Caribbean,2010,Percentage of male and female intentional homicide victims- Female,3.4,
29,Caribbean,2017,Intentional homicide rates per 100K,14,Estimate.
29,Caribbean,2017,Percentage of male and female intentional homicide victims- Male,27.3,
29,Caribbean,2017,Percentage of male and female intentional homicide victims- Female,3.1,
29,Caribbean,2018,Intentional homicide rates per 100K,12.1,Estimate.
13,Central America,2005,Intentional homicide rates per 100K,16.3,Estimate.
13,Central America,2005,Percentage of male and female intentional homicide victims- Male,28.9,
13,Central America,2005,Percentage of male and female intentional homicide victims- Female,3.5,
13,Central America,2010,Intentional homicide rates per 100K,27.8,Estimate.
13,Central America,2010,Percentage of male and female intentional homicide victims- Male,49.7,
13,Central America,2010,Percentage of male and female intentional homicide victims- Female,5.3,
13,Central America,2017,Intentional homicide rates per 100K,26.5,Estimate.
13,Central America,2017,Percentage of male and female intentional homicide victims- Male,46.5,
13,Central America,2017,Percentage of male and female intentional homicide victims- Female,5.6,
13,Central America,2018,Intentional homicide rates per 100K,28.1,Estimate.
5,South America,2005,Intentional homicide rates per 100K,21.5,Estimate.
5,South America,2005,Percentage of male and female intentional homicide victims- Male,40,
5,South America,2005,Percentage of male and female intentional homicide victims- Female,3.6,
5,South America,2010,Intentional homicide rates per 100K,20.8,Estimate.
5,South America,2010,Percentage of male and female intentional homicide victims- Male,38.3,
5,South America,2010,Percentage of male and female intentional homicide victims- Female,3.6,
5,South America,2017,Intentional homicide rates per 100K,23.6,Estimate.
5,South America,2017,Percentage of male and female intentional homicide victims- Male,44.9,
5,South America,2017,Percentage of male and female intentional homicide victims- Female,4,
5,South America,2018,Intentional homicide rates per 100K,21,Estimate.
142,Asia,2005,Intentional homicide rates per 100K,2.9,Estimate.
142,Asia,2005,Percentage of male and female intentional homicide victims- Male,4.1,
142,Asia,2005,Percentage of male and female intentional homicide victims- Female,1.7,
142,Asia,2010,Intentional homicide rates per 100K,2.7,Estimate.
142,Asia,2010,Percentage of male and female intentional homicide victims- Male,3.6,
142,Asia,2010,Percentage of male and female intentional homicide victims- Female,1.7,
142,Asia,2018,Intentional homicide rates per 100K,2.1,Estimate.
142,Asia,2018,Percentage of male and female intentional homicide victims- Male,2.7,
142,Asia,2018,Percentage of male and female intentional homicide victims- Female,1.4,
143,Central Asia,2005,Intentional homicide rates per 100K,6.5,Estimate.
143,Central Asia,2005,Percentage of male and female intentional homicide victims- Male,10.2,
143,Central Asia,2005,Percentage of male and female intentional homicide victims- Female,2.8,
143,Central Asia,2010,Intentional homicide rates per 100K,5.6,Estimate.
143,Central Asia,2010,Percentage of male and female intentional homicide victims- Male,8.7,
143,Central Asia,2010,Percentage of male and female intentional homicide victims- Female,2.7,
143,Central Asia,2017,Intentional homicide rates per 100K,2.8,Estimate.
143,Central Asia,2017,Percentage of male and female intentional homicide victims- Male,5.8,
143,Central Asia,2017,Percentage of male and female intentional homicide victims- Female,1.7,
143,Central Asia,2018,Intentional homicide rates per 100K,2.7,Estimate.
30,Eastern Asia,2005,Intentional homicide rates per 100K,1.5,Estimate.
30,Eastern Asia,2005,Percentage of male and female intentional homicide victims- Male,1.6,
30,Eastern Asia,2005,Percentage of male and female intentional homicide victims- Female,1.3,
30,Eastern Asia,2010,Intentional homicide rates per 100K,0.9,Estimate.
30,Eastern Asia,2010,Percentage of male and female intentional homicide victims- Male,1,
30,Eastern Asia,2010,Percentage of male and female intentional homicide victims- Female,0.9,
30,Eastern Asia,2017,Intentional homicide rates per 100K,0.6,Estimate.
30,Eastern Asia,2017,Percentage of male and female intentional homicide victims- Male,0.6,
30,Eastern Asia,2017,Percentage of male and female intentional homicide victims- Female,0.6,
30,Eastern Asia,2018,Intentional homicide rates per 100K,0.5,Estimate.
35,South-eastern Asia,2005,Intentional homicide rates per 100K,2.8,Estimate.
35,South-eastern Asia,2005,Percentage of male and female intentional homicide victims- Male,4.8,
35,South-eastern Asia,2005,Percentage of male and female intentional homicide victims- Female,0.9,
35,South-eastern Asia,2010,Intentional homicide rates per 100K,2.8,Estimate.
35,South-eastern Asia,2010,Percentage of male and female intentional homicide victims- Male,4.8,
35,South-eastern Asia,2010,Percentage of male and female intentional homicide victims- Female,0.8,
35,South-eastern Asia,2017,Intentional homicide rates per 100K,2.4,Estimate.
35,South-eastern Asia,2017,Percentage of male and female intentional homicide victims- Male,4.4,
35,South-eastern Asia,2017,Percentage of male and female intentional homicide victims- Female,0.7,
35,South-eastern Asia,2018,Intentional homicide rates per 100K,2.2,Estimate.
145,Western Asia,2005,Intentional homicide rates per 100K,4.7,Estimate.
145,Western Asia,2005,Percentage of male and female intentional homicide victims- Male,7.3,
145,Western Asia,2005,Percentage of male and female intentional homicide victims- Female,1.9,
145,Western Asia,2010,Intentional homicide rates per 100K,3.8,Estimate.
145,Western Asia,2010,Percentage of male and female intentional homicide victims- Male,5.8,
145,Western Asia,2010,Percentage of male and female intentional homicide victims- Female,1.5,
145,Western Asia,2017,Intentional homicide rates per 100K,3.5,Estimate.
145,Western Asia,2017,Percentage of male and female intentional homicide victims- Male,6.2,
145,Western Asia,2017,Percentage of male and female intentional homicide victims- Female,1.6,
145,Western Asia,2018,Intentional homicide rates per 100K,3.4,Estimate.
150,Europe,2005,Intentional homicide rates per 100K,6.5,Estimate.
150,Europe,2005,Percentage of male and female intentional homicide victims- Male,9.9,
150,Europe,2005,Percentage of male and female intentional homicide victims- Female,3.4,
150,Europe,2010,Intentional homicide rates per 100K,3.5,Estimate.
150,Europe,2010,Percentage of male and female intentional homicide victims- Male,5.1,
150,Europe,2010,Percentage of male and female intentional homicide victims- Female,2,
150,Europe,2018,Intentional homicide rates per 100K,2.8,Estimate.
150,Europe,2018,Percentage of male and female intentional homicide victims- Male,4.1,
150,Europe,2018,Percentage of male and female intentional homicide victims- Female,1.5,
151,Eastern Europe,2005,Intentional homicide rates per 100K,13.9,Estimate.
151,Eastern Europe,2005,Percentage of male and female intentional homicide victims- Male,21.9,
151,Eastern Europe,2005,Percentage of male and female intentional homicide victims- Female,6.8,
151,Eastern Europe,2010,Intentional homicide rates per 100K,6.9,Estimate.
151,Eastern Europe,2010,Percentage of male and female intentional homicide victims- Male,13.5,
151,Eastern Europe,2010,Percentage of male and female intentional homicide victims- Female,4.2,
151,Eastern Europe,2017,Intentional homicide rates per 100K,5.9,Estimate.
151,Eastern Europe,2017,Percentage of male and female intentional homicide victims- Male,9.2,
151,Eastern Europe,2017,Percentage of male and female intentional homicide victims- Female,3.1,
151,Eastern Europe,2018,Intentional homicide rates per 100K,5.5,Estimate.
154,Northern Europe,2005,Intentional homicide rates per 100K,1.9,Estimate.
154,Northern Europe,2005,Percentage of male and female intentional homicide victims- Male,2.5,
154,Northern Europe,2005,Percentage of male and female intentional homicide victims- Female,1.2,
154,Northern Europe,2010,Intentional homicide rates per 100K,1.4,Estimate.
154,Northern Europe,2010,Percentage of male and female intentional homicide victims- Male,1.9,
154,Northern Europe,2010,Percentage of male and female intentional homicide victims- Female,1,
154,Northern Europe,2017,Intentional homicide rates per 100K,1.3,Estimate.
154,Northern Europe,2017,Percentage of male and female intentional homicide victims- Male,1.6,
154,Northern Europe,2017,Percentage of male and female intentional homicide victims- Female,0.9,
154,Northern Europe,2018,Intentional homicide rates per 100K,1.3,Estimate.
39,Southern Europe,2005,Intentional homicide rates per 100K,1.3,Estimate.
39,Southern Europe,2005,Percentage of male and female intentional homicide victims- Male,2,
39,Southern Europe,2005,Percentage of male and female intentional homicide victims- Female,0.6,
39,Southern Europe,2010,Intentional homicide rates per 100K,1.2,Estimate.
39,Southern Europe,2010,Percentage of male and female intentional homicide victims- Male,1.6,
39,Southern Europe,2010,Percentage of male and female intentional homicide victims- Female,0.7,
39,Southern Europe,2017,Intentional homicide rates per 100K,0.8,Estimate.
39,Southern Europe,2017,Percentage of male and female intentional homicide victims- Male,1.1,
39,Southern Europe,2017,Percentage of male and female intentional homicide victims- Female,0.5,
39,Southern Europe,2018,Intentional homicide rates per 100K,0.7,Estimate.
155,Western Europe,2005,Intentional homicide rates per 100K,1.3,Estimate.
155,Western Europe,2005,Percentage of male and female intentional homicide victims- Male,1.5,
155,Western Europe,2005,Percentage of male and female intentional homicide victims- Female,1,
155,Western Europe,2010,Intentional homicide rates per 100K,1.1,Estimate.
