Cod,Region/Country/Area,Year,Series,Value
1,Total,2005,Labour force participation - Total,63.8
1,Total,2005,Unemployment rate - Total,5.9
1,Total,2005,Labour force participation - Male,77.3
1,Total,2005,Unemployment rate - Male,5.7
1,Total,2005,Labour force participation - Female,50.3
1,Total,2005,Unemployment rate - Female,6.2
1,Total,2010,Labour force participation - Total,62.5
1,Total,2010,Unemployment rate - Total,5.9
1,Total,2010,Labour force participation - Male,76.1
1,Total,2010,Unemployment rate - Male,5.8
1,Total,2010,Labour force participation - Female,48.8
1,Total,2010,Unemployment rate - Female,6.1
1,Total,2015,Labour force participation - Total,61.4
1,Total,2015,Unemployment rate - Total,5.6
1,Total,2015,Labour force participation - Male,75
1,Total,2015,Unemployment rate - Male,5.5
1,Total,2015,Labour force participation - Female,47.7
1,Total,2015,Unemployment rate - Female,5.8
1,Total,2020,Labour force participation - Total,60.5
1,Total,2020,Unemployment rate - Total,5.4
1,Total,2020,Labour force participation - Male,74
1,Total,2020,Unemployment rate - Male,5.3
1,Total,2020,Labour force participation - Female,47
1,Total,2020,Unemployment rate - Female,5.6
2,Africa,2005,Labour force participation - Total,64.8
2,Africa,2005,Unemployment rate - Total,7.1
2,Africa,2005,Labour force participation - Male,75.1
2,Africa,2005,Unemployment rate - Male,6.7
2,Africa,2005,Labour force participation - Female,54.9
2,Africa,2005,Unemployment rate - Female,7.6
2,Africa,2010,Labour force participation - Total,64.6
2,Africa,2010,Unemployment rate - Total,6.5
2,Africa,2010,Labour force participation - Male,74.6
2,Africa,2010,Unemployment rate - Male,5.8
2,Africa,2010,Labour force participation - Female,54.8
2,Africa,2010,Unemployment rate - Female,7.4
2,Africa,2015,Labour force participation - Total,63.3
2,Africa,2015,Unemployment rate - Total,6.7
2,Africa,2015,Labour force participation - Male,72.8
2,Africa,2015,Unemployment rate - Male,6.1
2,Africa,2015,Labour force participation - Female,54
2,Africa,2015,Unemployment rate - Female,7.3
2,Africa,2020,Labour force participation - Total,63.1
2,Africa,2020,Unemployment rate - Total,6.8
2,Africa,2020,Labour force participation - Male,72
2,Africa,2020,Unemployment rate - Male,6.2
2,Africa,2020,Labour force participation - Female,54.4
2,Africa,2020,Unemployment rate - Female,7.5
15,Northern Africa,2005,Labour force participation - Total,47
15,Northern Africa,2005,Unemployment rate - Total,12.8
15,Northern Africa,2005,Labour force participation - Male,72.5
15,Northern Africa,2005,Unemployment rate - Male,10.7
15,Northern Africa,2005,Labour force participation - Female,21.6
15,Northern Africa,2005,Unemployment rate - Female,19.9
15,Northern Africa,2010,Labour force participation - Total,47.8
15,Northern Africa,2010,Unemployment rate - Total,10.6
15,Northern Africa,2010,Labour force participation - Male,73.1
15,Northern Africa,2010,Unemployment rate - Male,7.5
15,Northern Africa,2010,Labour force participation - Female,22.8
15,Northern Africa,2010,Unemployment rate - Female,20.1
15,Northern Africa,2015,Labour force participation - Total,46.7
15,Northern Africa,2015,Unemployment rate - Total,13.1
15,Northern Africa,2015,Labour force participation - Male,71
15,Northern Africa,2015,Unemployment rate - Male,10.2
15,Northern Africa,2015,Labour force participation - Female,22.6
15,Northern Africa,2015,Unemployment rate - Female,22.2
15,Northern Africa,2020,Labour force participation - Total,45.7
15,Northern Africa,2020,Unemployment rate - Total,11.9
15,Northern Africa,2020,Labour force participation - Male,69.3
15,Northern Africa,2020,Unemployment rate - Male,8.9
15,Northern Africa,2020,Labour force participation - Female,22.2
15,Northern Africa,2020,Unemployment rate - Female,21
202,Sub-Saharan Africa,2005,Labour force participation - Total,70.3
202,Sub-Saharan Africa,2005,Unemployment rate - Total,5.9
202,Sub-Saharan Africa,2005,Labour force participation - Male,75.9
202,Sub-Saharan Africa,2005,Unemployment rate - Male,5.5
202,Sub-Saharan Africa,2005,Labour force participation - Female,64.8
202,Sub-Saharan Africa,2005,Unemployment rate - Female,6.3
202,Sub-Saharan Africa,2010,Labour force participation - Total,69.5
202,Sub-Saharan Africa,2010,Unemployment rate - Total,5.7
202,Sub-Saharan Africa,2010,Labour force participation - Male,75
202,Sub-Saharan Africa,2010,Unemployment rate - Male,5.4
202,Sub-Saharan Africa,2010,Labour force participation - Female,64.1
202,Sub-Saharan Africa,2010,Unemployment rate - Female,6.1
202,Sub-Saharan Africa,2015,Labour force participation - Total,67.9
202,Sub-Saharan Africa,2015,Unemployment rate - Total,5.4
202,Sub-Saharan Africa,2015,Labour force participation - Male,73.3
202,Sub-Saharan Africa,2015,Unemployment rate - Male,5
202,Sub-Saharan Africa,2015,Labour force participation - Female,62.7
202,Sub-Saharan Africa,2015,Unemployment rate - Female,5.9
