Region,Year,Series,Value
Total,2005,Labour force participation - Total,63.8
Total,2005,Unemployment rate - Total,5.9
Total,2005,Labour force participation - Male,77.3
Total,2005,Unemployment rate - Male,5.7
Total,2005,Labour force participation - Female,50.3
Total,2005,Unemployment rate - Female,6.2
Total,2010,Labour force participation - Total,62.5
Total,2010,Unemployment rate - Total,5.9
Total,2010,Labour force participation - Male,76.1
Total,2010,Unemployment rate - Male,5.8
Total,2010,Labour force participation - Female,48.8
Total,2010,Unemployment rate - Female,6.1
Total,2015,Labour force participation - Total,61.4
Total,2015,Unemployment rate - Total,5.6
Total,2015,Labour force participation - Male,75
Total,2015,Unemployment rate - Male,5.5
Total,2015,Labour force participation - Female,47.7
Total,2015,Unemployment rate - Female,5.8
Total,2020,Labour force participation - Total,60.5
Total,2020,Unemployment rate - Total,5.4
Total,2020,Labour force participation - Male,74
Total,2020,Unemployment rate - Male,5.3
Total,2020,Labour force participation - Female,47
Total,2020,Unemployment rate - Female,5.6
Africa,2005,Labour force participation - Total,64.8
Africa,2005,Unemployment rate - Total,7.1
Africa,2005,Labour force participation - Male,75.1
Africa,2005,Unemployment rate - Male,6.7
Africa,2005,Labour force participation - Female,54.9
Africa,2005,Unemployment rate - Female,7.6
Africa,2010,Labour force participation - Total,64.6
Africa,2010,Unemployment rate - Total,6.5
Africa,2010,Labour force participation - Male,74.6
Africa,2010,Unemployment rate - Male,5.8
Africa,2010,Labour force participation - Female,54.8
Africa,2010,Unemployment rate - Female,7.4
Africa,2015,Labour force participation - Total,63.3
Africa,2015,Unemployment rate - Total,6.7
Africa,2015,Labour force participation - Male,72.8
Africa,2015,Unemployment rate - Male,6.1
Africa,2015,Labour force participation - Female,54
Africa,2015,Unemployment rate - Female,7.3
Africa,2020,Labour force participation - Total,63.1
Africa,2020,Unemployment rate - Total,6.8
Africa,2020,Labour force participation - Male,72
Africa,2020,Unemployment rate - Male,6.2
Africa,2020,Labour force participation - Female,54.4
Africa,2020,Unemployment rate - Female,7.5
Northern Africa,2005,Labour force participation - Total,47
Northern Africa,2005,Unemployment rate - Total,12.8
Northern Africa,2005,Labour force participation - Male,72.5
Northern Africa,2005,Unemployment rate - Male,10.7
Northern Africa,2005,Labour force participation - Female,21.6
Northern Africa,2005,Unemployment rate - Female,19.9
Northern Africa,2010,Labour force participation - Total,47.8
Northern Africa,2010,Unemployment rate - Total,10.6
Northern Africa,2010,Labour force participation - Male,73.1
Northern Africa,2010,Unemployment rate - Male,7.5
Northern Africa,2010,Labour force participation - Female,22.8
Northern Africa,2010,Unemployment rate - Female,20.1
